"нужда в картата на А","покрива се в картата на Б"
"Слънце в труден аспект с Уран","Слънце в лесен аспект с Уран; Слънце в съвпад с Уран; Слънце в един знак с Уран"
"Слънце в лесен аспект или съвпад с Уран","Слънце в какъвто и да е аспект с Уран; Слънце в един знак с Уран"
"Слънце в труден аспект с Нептун","Слънце в лесен аспект с Нептун; Слънце в съвпад с Нептун; Слънце в един знак с Нептун"
"Слънце в лесен аспект или съвпад с Нептун","Слънце в какъвто и да е аспект с Нептун; Слънце в един знак с Нептун"
"Слънце в труден аспект с Плутон","Слънце в лесен аспект с Плутон; Слънце в съвпад с Плутон; Слънце в един знак с Плутон"
"Слънце в лесен аспект или съвпад с Плутон","Слънце в какъвто и да е аспект с Плутон; Слънце в един знак с Плутон"
"Венера в труден аспект с Уран","Венера в лесен аспект с Уран; Венера в съвпад с Уран; Венера в един знак с Уран"
"Венера в лесен аспект или съвпад с Уран","Венера в какъвто и да е аспект с Уран; Венера в един знак с Уран"
"Венера в труден аспект с Нептун","Венера в лесен аспект с Нептун; Венера в съвпад с Нептун; Венера в един знак с Нептун"
"Венера в лесен аспект или съвпад с Нептун","Венера в какъвто и да е аспект с Нептун; Венера в един знак с Нептун"
"Венера в труден аспект с Плутон","Венера в лесен аспект с Плутон; Венера в съвпад с Плутон; Венера в един знак с Плутон"
"Венера в лесен аспект или съвпад с Плутон","Венера в какъвто и да е аспект с Плутон; Венера в един знак с Плутон"
"Меркурий в труден аспект с Уран","Меркурий в лесен аспект с Уран; Меркурий в съвпад с Уран; Меркурий в един знак с Уран"
"Меркурий в лесен аспект или съвпад с Уран","Меркурий в какъвто и да е аспект с Уран; Меркурий в един знак с Уран"
"Меркурий в труден аспект с Нептун","Меркурий в лесен аспект с Нептун; Меркурий в съвпад с Нептун; Меркурий в един знак с Нептун"
"Меркурий в лесен аспект или съвпад с Нептун","Меркурий в какъвто и да е аспект с Нептун; Меркурий в един знак с Нептун"
"Меркурий в труден аспект с Плутон","Меркурий в лесен аспект с Плутон; Меркурий в съвпад с Плутон; Меркурий в един знак с Плутон"
"Меркурий в лесен аспект или съвпад с Плутон","Меркурий в какъвто и да е аспект с Плутон; Меркурий в един знак с Плутон"
"Марс в труден аспект с Уран","Марс в лесен аспект с Уран; Марс в съвпад с Уран; Марс в един знак с Уран"
"Марс в лесен аспект или съвпад с Уран","Марс в какъвто и да е аспект с Уран; Марс в един знак с Уран"
"Марс в труден аспект с Нептун","Марс в лесен аспект с Нептун; Марс в съвпад с Нептун; Марс в един знак с Нептун"
"Марс в лесен аспект или съвпад с Нептун","Марс в какъвто и да е аспект с Нептун; Марс в един знак с Нептун"
"Марс в труден аспект с Плутон","Марс в лесен аспект с Плутон; Марс в съвпад с Плутон; Марс в един знак с Плутон"
"Марс в лесен аспект или съвпад с Плутон","Марс в какъвто и да е аспект с Плутон; Марс в един знак с Плутон"
"Десцендент в Овен","асцендент на партньора в Овен; три или повече планети на партньора в 1-ви дом; Слънце на партньора в Овен; Марс на партньора в аспект със Слънцето на партньора; Марс на партньора в един знак със собствения му асцендент"
"Десцендент в Телец","асцендент на партньора в Телец; три или повече планети на партньора в 2-ри дом; Слънце на партньора в Телец; Венера на партньора в аспект със Слънцето на партньора; Венера на партньора в един знак със собствения му асцендент"
"Десцендент в Близнаци","асцендент на партньора в Близнаци; три или повече планети на партньора в 3-ти дом; Слънце на партньора в Близнаци; Меркурий на партньора в аспект със Слънцето на партньора; Меркурий на партньора в един знак със собствения му асцендент"
"Десцендент в Рак","асцендент на партньора в Рак; три или повече планети на партньора в 4-ти дом; Слънце на партньора в Рак; Луна на партньора в аспект със Слънцето на партньора; Луна на партньора в един знак със собствения му асцендент"
"Десцендент в Лъв","асцендент на партньора в Лъв; три или повече планети на партньора в 5-и дом; Слънце на партньора в Лъв; Слънце на партньора в един знак със собствения му асцендент"
"Десцендент в Дева","асцендент на партньора в Дева; три или повече планети на партньора в 6-и дом; Слънце на партньора в Дева; Меркурий на партньора в аспект със Слънцето на партньора; Меркурий на партньора в един знак със собствения му асцендент"
"Десцендент в Везни","асцендент на партньора в Везни; три или повече планети на партньора в 7-и дом; Слънце на партньора в Везни; Венера на партньора в аспект със Слънцето на партньора; Венера на партньора в един знак със собствения му асцендент"
"Десцендент в Скорпион","асцендент на партньора в Скорпион; три или повече планети на партньора в 8-и дом; Слънце на партньора в Скорпион; Марс на партньора в аспект със Слънцето на партньора; Плутон на партньора в аспект със Слънцето на партньора; Марс на партньора в един знак със собствения му асцендент; Плутон на партньора в един знак със собствения му асцендент"
"Десцендент в Стрелец","асцендент на партньора в Стрелец; три или повече планети на партньора в 9-и дом; Слънце на партньора в Стрелец; Юпитер на партньора в аспект със Слънцето на партньора; Юпитер на партньора в един знак със собствения му асцендент"
"Десцендент в Козирог","асцендент на партньора в Козирог; три или повече планети на партньора в 10-и дом; Слънце на партньора в Козирог; Сатурн на партньора в аспект със Слънцето на партньора; Сатурн на партньора в един знак със собствения му асцендент"
"Десцендент в Водолей","асцендент на партньора в Водолей; три или повече планети на партньора в 11-и дом; Слънце на партньора в Водолей; Сатурн на партньора в аспект със Слънцето на партньора; Уран на партньора в аспект със Слънцето на партньора; Сатурн на партньора в един знак със собствения му асцендент; Уран на партньора в един знак със собствения му асцендент"
